qseqid,best_evalue_cecidomyiid,best_bitscore_cecidomyiid,best_hit_cecidomyiid,best_pident_cecidomyiid,best_evalue_sciarid,best_bitscore_sciarid,best_hit_sciarid,best_pident_sciarid,best_evalue_outgroup,best_bitscore_outgroup,best_hit_outgroup,best_pident_outgroup,alien_index,bitscore_diff_cec_minus_sci,outgroup_flag,interpretation
g10897.t1,0.0,743.0,g8426.t3,53.0,1.5,32.7,s6987.t3,34.884,5.810000000000001e-132,444.0,ref|XP_061519228.1|,45.131,460.9224837069173,710.3,ok,cecidomyiid-like
g8622.t1,0.0,1007.0,g13660.t2,84.982,1.5,31.2,s14191.t1,27.737,0.0,937.0,ref|XP_316678.2|,78.207,460.9224837069173,975.8,check_conservation,cecidomyiid-like
g7920.t1,0.0,1612.0,g8435.t2,64.11,1.4,32.3,s3069.t1,30.337,10.0,0.0,,,460.85349083543036,1579.7,ok,cecidomyiid-like
g6807.t1,0.0,1699.0,g5306.t1,77.838,1.4,33.5,s9037.t2,34.483,0.0,1662.0,ref|XP_061515008.1|,38.832,460.85349083543036,1665.5,check_conservation,cecidomyiid-like
g2680.t1,0.0,543.0,g12504.t2,73.021,1.3,30.8,s3804.t1,24.638,5.38e-68,218.0,ref|XP_061516741.1|,36.464,460.7793828632766,512.2,ok,cecidomyiid-like
g6807.t2,0.0,1698.0,g5306.t1,77.838,1.3,33.9,s9037.t1,34.483,0.0,1651.0,ref|XP_061515008.1|,38.627,460.7793828632766,1664.1,check_conservation,cecidomyiid-like
g17951.t1,0.0,541.0,g6414.t1,94.805,1.3,30.8,s15408.t3,40.426,6.2e-132,387.0,ref|XP_061504188.1|,65.109,460.7793828632766,510.2,ok,cecidomyiid-like
g875.t2,0.0,788.0,g5306.t1,70.202,1.3,32.3,s16697.t1,21.296,1.22e-76,276.0,ref|XP_061515009.1|,35.022,460.7793828632766,755.7,ok,cecidomyiid-like
g875.t1,0.0,820.0,g5306.t1,77.695,1.2,32.3,s16697.t1,21.296,3.91e-77,276.0,ref|XP_061515009.1|,35.329,460.6993401556031,787.7,ok,cecidomyiid-like
g2511.t1,0.0,973.0,g4932.t1,74.018,1.2,32.0,s8484.t1,26.087,2.09e-14,77.4,ref|XP_001689336.3|,24.615,460.6993401556031,941.0,ok,cecidomyiid-like
g3508.t1,0.0,584.0,g10860.t4,65.613,1.2,31.6,s2421.t2,35.088,3.5,31.2,ref|XP_321486.5|,32.727,460.6993401556031,552.4,ok,cecidomyiid-like
g2183.t1,0.0,838.0,g13917.t2,85.609,1.1,31.6,s8420.t1,26.786,1.6999999999999998e-119,364.0,ref|XP_308851.4|,48.009,460.61232877861346,806.4,ok,cecidomyiid-like
g14703.t1,0.0,708.0,g10268.t3,75.654,0.98,31.6,s1370.t1,29.63,4.129999999999999e-90,299.0,ref|XP_061514418.1|,45.291,460.4968158914916,676.4,ok,cecidomyiid-like
g4397.t1,0.0,568.0,g7907.t2,77.374,0.96,30.8,s12744.t1,27.273,2.09e-15,79.0,ref|XP_061512625.1|,35.897,460.47619660428893,537.2,ok,cecidomyiid-like
g7783.t2,0.0,815.0,g7421.t2,78.253,0.95,32.0,s8090.t1,31.579,9.979999999999999e-60,214.0,ref|XP_061508801.1|,38.539,460.4657253044216,783.0,ok,cecidomyiid-like
g7794.t2,0.0,815.0,g7421.t2,78.253,0.95,32.0,s8090.t1,31.579,9.979999999999999e-60,214.0,ref|XP_061508801.1|,38.539,460.4657253044216,783.0,ok,cecidomyiid-like
g7783.t1,0.0,825.0,g7421.t2,79.174,0.94,32.0,s8090.t1,31.579,3.15e-59,213.0,ref|XP_061508802.1|,37.931,460.45514319509107,793.0,ok,cecidomyiid-like
g9480.t1,0.0,569.0,g9127.t2,94.704,0.94,30.8,s7303.t1,29.167,8.7e-52,179.0,ref|XP_061501484.1|,70.659,460.45514319509107,538.2,ok,cecidomyiid-like
g7794.t1,0.0,825.0,g7421.t2,79.174,0.94,32.0,s8090.t1,31.579,3.15e-59,213.0,ref|XP_061508802.1|,37.931,460.45514319509107,793.0,ok,cecidomyiid-like
g873.t2,0.0,1025.0,g5306.t1,82.947,0.93,32.3,s15941.t1,32.258,2.06e-143,461.0,ref|XP_061515001.1|,45.23,460.4444479059743,992.7,ok,cecidomyiid-like
g7783.t3,0.0,820.0,g7421.t2,78.879,0.9,32.0,s8090.t1,31.579,4.12e-59,212.0,ref|XP_061508801.1|,37.931,460.41165808315134,788.0,ok,cecidomyiid-like
g7794.t3,0.0,820.0,g7421.t2,78.879,0.9,32.0,s8090.t1,31.579,4.12e-59,212.0,ref|XP_061508801.1|,37.931,460.41165808315134,788.0,ok,cecidomyiid-like
g8735.t1,0.0,635.0,g3969.t2,75.0,0.82,31.2,s8198.t1,24.59,6.24e-112,334.0,ref|XP_311105.3|,42.927,460.3185676600853,603.8,ok,cecidomyiid-like
g11939.t1,0.0,671.0,g7127.t2,66.168,0.81,32.3,s660.t1,24.706,0.0,619.0,ref|XP_061513080.1|,64.384,460.3062975674935,638.7,check_conservation,cecidomyiid-like
g6943.t1,0.0,531.0,g8364.t3,95.556,0.81,30.8,s8725.t1,40.0,2.34e-169,469.0,ref|XP_061497473.1|,81.852,460.3062975674935,500.2,check_conservation,cecidomyiid-like
g10488.t1,0.0,604.0,g5380.t2,85.0,0.79,31.6,s1666.t1,32.632,5.8e-110,335.0,ref|XP_061510222.1|,48.955,460.28129626528806,572.4,ok,cecidomyiid-like
g2867.t1,0.0,1513.0,g13660.t2,95.812,0.73,33.1,s8289.t1,27.966,0.0,1250.0,ref|XP_316678.2|,76.693,460.20230785396944,1479.9,check_conservation,cecidomyiid-like
g6061.t1,0.0,610.0,g11140.t1,84.576,0.69,31.6,s2782.t1,26.316,3.24e-31,127.0,ref|XP_061497812.1|,30.958,460.14595491741835,578.4,ok,cecidomyiid-like
g8190.t1,0.0,615.0,g5113.t2,70.943,0.66,32.3,s3469.t1,25.989,1.2200000000000001e-31,130.0,ref|XP_061510557.1|,41.837,460.1015031548475,582.7,ok,cecidomyiid-like
g12105.t1,0.0,788.0,g196.t3,73.282,0.65,32.3,s11298.t1,32.432,0.0,756.0,ref|XP_061519527.1|,72.0,460.0862356827167,755.7,check_conservation,cecidomyiid-like
g12105.t2,0.0,741.0,g196.t5,68.645,0.63,32.0,s11298.t1,32.432,0.0,707.0,ref|XP_061519527.1|,68.96,460.0549831392126,709.0,check_conservation,cecidomyiid-like
g3529.t1,0.0,551.0,g2131.t2,49.324,0.55,32.7,s6521.t1,28.777,1.74e-49,182.0,ref|XP_061500366.1|,26.151,459.9191815980535,518.3,ok,cecidomyiid-like
g14070.t1,0.0,642.0,g6830.t2,77.428,0.55,32.0,s7466.t1,26.786,9.91e-135,391.0,ref|XP_316867.6|,49.189,459.9191815980535,610.0,ok,cecidomyiid-like
g13297.t1,0.0,733.0,g6629.t2,96.206,0.54,32.0,s784.t1,26.786,0.0,650.0,ref|XP_061516606.1|,85.366,459.90083245938536,701.0,check_conservation,cecidomyiid-like
g6011.t1,0.0,523.0,g10813.t2,66.842,0.49,31.6,s2018.t1,24.427,4.0300000000000004e-56,188.0,ref|XP_321056.6|,31.319,459.8036687109317,491.4,ok,cecidomyiid-like
g2700.t1,0.0,604.0,g12478.t2,86.464,0.44,32.3,s113.t1,26.23,1.58e-103,310.0,ref|XP_313261.5|,46.875,459.6960380467393,571.7,ok,cecidomyiid-like
g2589.t1,0.0,1520.0,g13477.t2,72.507,0.43,34.3,s9577.t1,22.66,3.08e-38,156.0,ref|XP_061508902.1|,28.918,459.67304852851464,1485.7,ok,cecidomyiid-like
g4240.t1,0.0,588.0,g9315.t2,69.565,0.41,32.3,s1740.t1,28.409,0.0,540.0,ref|XP_313678.5|,64.07,459.62542047952536,555.7,check_conservation,cecidomyiid-like
g2918.t1,0.0,1349.0,g14098.t2,76.717,0.4,33.9,s3355.t1,24.51,5.67e-72,253.0,ref|XP_313802.6|,26.504,459.600727866935,1315.1,ok,cecidomyiid-like
g17657.t1,0.0,514.0,g7012.t2,73.563,0.39,32.7,s17143.t1,27.473,3.19e-11,65.1,ref|XP_552168.4|,25.532,459.5754100589507,481.3,ok,cecidomyiid-like
g2589.t2,0.0,1482.0,g13477.t2,72.779,0.38,34.7,s14036.t1,32.0,1.73e-38,157.0,ref|XP_061508902.1|,28.953,459.54943457254745,1447.3,ok,cecidomyiid-like
g7077.t1,0.0,596.0,g5196.t2,56.447,0.37,33.9,s3541.t2,46.0,10.0,0.0,,,459.5227663254653,562.1,ok,cecidomyiid-like
g5504.t1,0.0,788.0,g10413.t2,55.172,0.34,34.3,s6125.t1,30.337,2.9,32.3,ref|XP_061501640.1|,27.358,459.43820893743725,753.7,ok,cecidomyiid-like
g2556.t1,0.0,1064.0,g13467.t3,78.647,0.34,33.9,s772.t1,27.451,6.37e-103,324.0,ref|XP_310404.5|,35.811,459.43820893743725,1030.1,ok,cecidomyiid-like
g3362.t1,0.0,612.0,g10036.t1,63.347,0.32,32.7,s10166.t2,23.669,1.0800000000000001e-64,217.0,ref|XP_313427.6|,35.356,459.37758431562077,579.3,ok,cecidomyiid-like
g1563.t1,0.0,949.0,g13467.t3,71.62,0.24,34.3,s16759.t1,26.829,7.32e-120,368.0,ref|XP_310404.5|,38.007,459.08990224316904,914.7,ok,cecidomyiid-like
g81.t1,0.0,717.0,g10209.t2,90.25,0.24,33.1,s6768.t1,28.814,6.4e-86,275.0,ref|XP_061512165.1|,40.863,459.08990224316904,683.9,ok,cecidomyiid-like
g2556.t2,0.0,1012.0,g13467.t3,79.585,0.23,34.3,s772.t2,27.451,4.48e-103,324.0,ref|XP_310404.5|,35.642,459.04734262875024,977.7,ok,cecidomyiid-like
g3172.t1,0.0,1063.0,g13999.t1,81.25,0.21,34.3,s13686.t1,26.05,6.74e-48,181.0,ref|XP_061507653.1|,29.661,458.9563708505445,1028.7,ok,cecidomyiid-like
g2603.t1,0.0,952.0,g13784.t2,77.112,0.21,34.7,s5771.t1,27.119,5e-87,298.0,ref|XP_061513618.1|,37.945,458.9563708505445,917.3,ok,cecidomyiid-like
g11899.t1,0.0,1302.0,g13660.t2,82.872,0.21,34.7,s7502.t1,39.474,0.0,1252.0,ref|XP_316678.2|,77.676,458.9563708505445,1267.3,check_conservation,cecidomyiid-like
g2079.t1,0.0,1641.0,g13826.t2,73.267,0.19,35.8,s16055.t1,33.784,10.0,0.0,,,458.8562873919875,1605.2,ok,cecidomyiid-like
g4237.t2,0.0,865.0,g9315.t2,68.167,0.19,33.1,s13963.t1,32.432,0.0,767.0,ref|XP_313678.5|,61.401,458.8562873919875,831.9,check_conservation,cecidomyiid-like
g7552.t1,0.0,576.0,g5113.t2,67.675,0.16,32.7,s4503.t1,38.889,9.33e-33,133.0,ref|XP_061510557.1|,41.346,458.6844371350609,543.3,ok,cecidomyiid-like
g5217.t1,0.0,719.0,g7377.t1,53.581,0.14,35.0,s3400.t1,28.829,0.0,702.0,ref|XP_061499068.1|,52.197,458.5509057424363,684.0,check_conservation,cecidomyiid-like
g4237.t1,0.0,751.0,g9315.t2,77.925,0.13,33.1,s13963.t1,32.432,0.0,668.0,ref|XP_313678.5|,70.067,458.4767977702826,717.9,check_conservation,cecidomyiid-like
g2111.t1,0.0,555.0,g13856.t2,53.398,0.13,34.7,s7408.t1,41.304,8.5,30.0,ref|XP_322067.4|,33.929,458.4767977702826,520.3,ok,cecidomyiid-like
g4237.t3,0.0,721.0,g9315.t2,78.472,0.13,33.1,s13963.t1,32.432,0.0,640.0,ref|XP_313678.5|,70.233,458.4767977702826,687.9,check_conservation,cecidomyiid-like
g928.t1,0.0,659.0,g10271.t2,85.195,0.12,33.9,s9396.t1,25.641,1.9,30.8,ref|XP_553588.2|,24.468,458.3967550626091,625.1,ok,cecidomyiid-like
g17518.t1,0.0,2084.0,g7127.t2,90.017,0.11,36.6,s8400.t2,26.724,0.0,922.0,ref|XP_061513080.1|,54.713,458.3097436856194,2047.4,ok,cecidomyiid-like
g2384.t1,0.0,901.0,g12974.t1,86.822,0.11,34.7,s4203.t1,32.692,9.15e-134,402.0,ref|XP_061504685.1|,41.93,458.3097436856194,866.3,ok,cecidomyiid-like
g2379.t3,0.0,521.0,g12976.t1,85.667,0.11,34.7,s944.t2,25.0,2.21e-161,471.0,ref|XP_558879.5|,69.945,458.3097436856194,486.3,check_conservation,cecidomyiid-like
g14618.t1,0.0,731.0,g6482.t3,86.124,0.082,34.3,s1942.t2,27.848,0.0,544.0,ref|XP_061510220.1|,63.876,458.01598256709127,696.7,ok,cecidomyiid-like
g19208.t1,0.0,658.0,g6678.t6,43.71,0.076,35.8,s3954.t1,35.088,0.0,694.0,ref|XP_061509398.1|,43.22,457.93999666011337,622.2,check_conservation,cecidomyiid-like
g14197.t2,0.0,1131.0,g6961.t3,57.641,0.051,37.4,s13747.t1,33.333,5.83e-91,316.0,ref|XP_061508248.1|,29.673,457.5410889525513,1093.6,ok,cecidomyiid-like
g14197.t1,0.0,1135.0,g6961.t3,57.462,0.051,37.4,s13747.t1,33.333,2.92e-90,314.0,ref|XP_061508248.1|,29.634,457.5410889525513,1097.6,ok,cecidomyiid-like
g2299.t3,0.0,810.0,g12792.t3,95.238,0.042,35.8,s14170.t1,24.545,0.001,41.6,ref|XP_319344.5|,30.556,457.3469329381104,774.2,ok,cecidomyiid-like
g14916.t1,0.0,1610.0,g11065.t2,77.095,0.037,37.7,s8562.t1,38.028,2.9e-61,230.0,ref|XP_061502900.1|,57.353,457.22018123247125,1572.3,ok,cecidomyiid-like
g19170.t1,0.0,649.0,g12792.t3,65.166,0.033,36.6,s7866.t1,30.631,0.002,41.6,ref|XP_319344.5|,30.0,457.1057708812935,612.4,ok,cecidomyiid-like
g2926.t1,0.0,857.0,g14106.t2,76.335,0.021,37.4,s4857.t1,17.481,1.71e-116,357.0,ref|XP_320980.5|,39.915,456.65378575755045,819.6,ok,cecidomyiid-like
g19252.t1,0.0,548.0,g12758.t4,90.0,0.018,36.6,s16062.t1,27.778,2.25e-162,499.0,ref|XP_061508817.1|,81.847,456.4996350777232,511.4,check_conservation,cecidomyiid-like
g3025.t1,0.0,688.0,g13584.t2,87.467,0.018,36.6,s14104.t1,50.0,6.29e-143,411.0,ref|XP_313571.4|,52.48,456.4996350777232,651.4,ok,cecidomyiid-like
g1272.t1,0.0,2049.0,g12659.t1,73.968,0.014,40.8,s11741.t1,29.457,1.0,36.2,ref|XP_061508155.1|,30.065,456.2483206494423,2008.2,ok,cecidomyiid-like
g19170.t3,0.0,679.0,g12792.t2,65.465,0.014,37.7,s7866.t1,31.481,0.000511,43.5,ref|XP_319344.5|,30.275,456.2483206494423,641.3,ok,cecidomyiid-like
g19170.t2,0.0,655.0,g12792.t3,65.551,0.013,37.7,s7866.t1,31.481,0.000528,43.5,ref|XP_319344.5|,30.275,456.17421267728855,617.3,ok,cecidomyiid-like
g2320.t1,0.0,1381.0,g13559.t2,81.818,0.012,38.9,s16275.t1,27.647,0.0,597.0,ref|XP_061513614.1|,45.95,456.094169969615,1342.1,ok,cecidomyiid-like
g2926.t2,0.0,772.0,g14106.t2,70.463,0.011,38.1,s4857.t1,19.619,7.02e-91,290.0,ref|XP_320980.5|,34.395,456.0071585926254,733.9,ok,cecidomyiid-like
g11882.t1,0.0,630.0,g12650.t1,87.252,0.01,37.7,s8993.t1,29.762,0.0,562.0,ref|XP_061508531.1|,77.907,455.9118484128211,592.3,check_conservation,cecidomyiid-like
g16886.t1,0.0,721.0,g9218.t3,81.907,0.009,37.4,s1024.t1,28.866,1.2500000000000001e-145,421.0,ref|XP_061517031.1|,48.009,455.80648789716327,683.6,ok,cecidomyiid-like
g17980.t1,0.0,634.0,g6830.t2,81.593,0.005,38.5,s5867.t1,27.407,1.09e-127,373.0,ref|XP_316867.6|,47.297,455.21870123226114,595.5,ok,cecidomyiid-like
g14696.t1,0.0,986.0,g10271.t1,88.193,0.005,39.7,s567.t1,25.309,0.02,38.9,ref|XP_061517297.1|,23.881,455.21870123226114,946.3,ok,cecidomyiid-like
g4357.t1,0.0,561.0,g15168.t2,69.598,0.003,40.8,s2676.t1,36.364,2.58e-10,65.5,ref|XP_061503015.1|,69.048,454.70787560849516,520.2,ok,cecidomyiid-like
g2261.t1,0.0,976.0,g13033.t2,85.063,0.003,40.4,s8812.t1,26.351,1.14e-31,132.0,ref|XP_003437040.2|,34.536,454.70787560849516,935.6,ok,cecidomyiid-like
g16013.t1,0.0,614.0,g5884.t2,73.602,0.003,39.3,s5739.t1,40.0,2.03e-06,50.8,ref|XP_061511467.1|,28.125,454.70787560849516,574.7,ok,cecidomyiid-like
g15638.t1,0.0,798.0,g5366.t1,79.879,0.002,38.9,s6494.t2,37.778,9.3,29.6,ref|XP_061511749.1|,18.182,454.30241050038694,759.1,ok,cecidomyiid-like
g6952.t1,0.0,1256.0,g7580.t2,64.24,0.001,42.4,s3370.t1,47.5,5.01e-87,306.0,ref|XP_061515309.1|,50.168,453.60926331982705,1213.6,ok,cecidomyiid-like
g2299.t2,0.0,851.0,g12792.t2,95.455,0.001,40.8,s14170.t1,24.828,0.000632,42.7,ref|XP_319344.5|,28.148,453.60926331982705,810.2,ok,cecidomyiid-like
g6952.t2,0.0,1260.0,g7580.t2,64.786,0.001,42.4,s3370.t1,47.5,4.24e-87,307.0,ref|XP_061515306.1|,50.168,453.60926331982705,1217.6,ok,cecidomyiid-like
g2299.t1,0.0,842.0,g12792.t2,94.976,0.000849,41.2,s14170.t1,24.828,0.002,41.2,ref|XP_319344.5|,27.778,453.44556722715623,800.8,ok,cecidomyiid-like
g2591.t1,0.0,936.0,g13475.t3,68.106,0.000664,42.7,s14056.t1,24.528,7.12e-87,289.0,ref|XP_307262.5|,29.707,453.1997901903213,893.3,ok,cecidomyiid-like
g2722.t1,0.0,533.0,g13341.t2,97.491,0.000453,40.8,s15792.t1,27.206,5.08e-143,403.0,ref|XP_310307.5|,88.546,452.8174001663279,492.2,ok,cecidomyiid-like
g4500.t1,0.0,652.0,g6989.t2,65.295,0.000418,42.0,s14967.t1,27.564,0.49,33.9,ref|XP_061496453.1|,29.545,452.73698947336965,610.0,ok,cecidomyiid-like
g4222.t1,0.0,600.0,g8596.t2,69.976,0.000369,42.4,s15736.t1,35.897,3.4e-153,442.0,ref|XP_313497.3|,50.948,452.61230468488543,557.6,ok,cecidomyiid-like
g15248.t1,0.0,516.0,g4778.t2,66.158,0.000365,42.0,s11200.t1,22.424,4.32e-05,45.8,ref|XP_320909.2|,21.818,452.6014053944274,474.0,ok,cecidomyiid-like
g2876.t1,0.0,665.0,g12988.t2,74.769,0.000321,42.7,s433.t1,22.671,2.86e-44,161.0,ref|XP_061503136.1|,26.424,452.4729491639749,622.3,ok,cecidomyiid-like
g17623.t1,0.0,1304.0,g7263.t3,81.45,0.000212,44.7,s7117.t1,22.422,0.0,994.0,ref|XP_061499284.1|,72.5,452.0580943155169,1259.3,ok,cecidomyiid-like
g13893.t1,0.0,535.0,g4882.t2,83.067,0.000177,42.4,s14065.t1,24.54,1.33e-69,219.0,ref|XP_312668.4|,38.621,451.8776577734187,492.6,ok,cecidomyiid-like
g17755.t1,0.0,1714.0,g7580.t2,75.693,0.000144,45.8,s3370.t1,47.059,4.87e-81,292.0,ref|XP_061515306.1|,40.288,451.6713213404209,1668.2,ok,cecidomyiid-like
g19148.t1,0.0,926.0,g15908.t1,53.855,0.000123,45.8,s14512.t2,27.439,0.00014,47.4,ref|XP_061504265.1|,25.159,451.5136923962173,880.2,ok,cecidomyiid-like
g17777.t1,0.0,749.0,g15168.t2,71.148,5.83e-05,46.2,s2676.t1,36.458,1.6e-10,66.6,ref|XP_061503015.1|,69.048,450.76711013420135,702.8,ok,cecidomyiid-like
g17476.t1,0.0,652.0,g8324.t2,88.83,4.1e-05,46.6,s677.t1,26.19,3.98e-143,434.0,ref|XP_061501992.1|,72.014,450.4150801075492,605.4,ok,cecidomyiid-like
g7193.t1,0.0,585.0,g8984.t2,65.795,2.66e-05,46.2,s4454.t1,24.157,0.000432,43.5,ref|XP_318886.3|,24.516,449.9824192566325,538.8,ok,cecidomyiid-like
g2854.t1,0.0,733.0,g13409.t2,56.432,2.46e-05,47.0,s10194.t1,40.625,1.4500000000000002e-21,96.7,ref|XP_061508612.1|,53.947,449.9042544837832,686.0,ok,cecidomyiid-like
g14972.t1,0.0,851.0,g146.t2,97.362,2e-05,47.0,s2952.t1,24.038,0.0,694.0,ref|XP_061498433.1|,81.34,449.69724031439887,804.0,check_conservation,cecidomyiid-like
g16303.t1,0.0,972.0,g7331.t2,45.426,1.96e-05,48.5,s6722.t2,39.062,3.58e-05,49.7,ref|XP_061498939.1|,28.276,449.67703760708133,923.5,ok,cecidomyiid-like
g16790.t1,0.0,562.0,g6868.t3,67.64,1.67e-05,46.6,s5390.t1,22.572,0.054,37.0,ref|XP_061500386.1|,33.784,449.5169167602676,515.4,ok,cecidomyiid-like
g19687.t1,0.0,581.0,g8984.t2,64.052,1.26e-05,47.4,s6940.t1,28.571,1.72e-05,48.1,ref|XP_321878.4|,24.457,449.2352048548023,533.6,ok,cecidomyiid-like
g6256.t1,0.0,696.0,g12423.t1,52.095,1.05e-05,48.5,s14666.t1,23.101,5.08e-25,109.0,ref|XP_061519809.1|,23.735,449.05288329800834,647.5,ok,cecidomyiid-like
